range,area,difference
100,0.68055,0.263968
600,0.874992,0.0695249
1100,0.831783,0.112734
1600,0.88643,0.0580871
2100,0.917416,0.0271011
2600,0.923003,0.0215144
3100,0.936624,0.00789355
3600,0.92426,0.0202574
4100,0.925403,0.0191139
4600,0.925465,0.0190526
5100,0.928702,0.0158152
5600,0.930141,0.014376
6100,0.932167,0.0123501
6600,0.931998,0.0125188
7100,0.937106,0.0074113
7600,0.936071,0.00844595
8100,0.939574,0.00494319
8600,0.938316,0.00620069
9100,0.9404,0.00411744
9600,0.93974,0.00477753
10100,0.938989,0.0055277
10600,0.938512,0.00600479
11100,0.942172,0.00234559
11600,0.941884,0.00263333
12100,0.938043,0.00647451
12600,0.937117,0.00739985
13100,0.938115,0.00640199
13600,0.938658,0.00585966
14100,0.937886,0.0066309
14600,0.937117,0.00740028
15100,0.937179,0.00733794
15600,0.940052,0.00446559
16100,0.939006,0.00551089
16600,0.939989,0.00452807
17100,0.938719,0.00579813
17600,0.940783,0.00373422
18100,0.941491,0.00302635
18600,0.942634,0.00188318
19100,0.94313,0.0013869
19600,0.943541,0.000976489
20100,0.943289,0.00122818
20600,0.943206,0.00131121
21100,0.943354,0.00116285
21600,0.944721,0.000203985
22100,0.944867,0.000349861
22600,0.943798,0.000719563
23100,0.944681,0.000163435
23600,0.945276,0.000758846
24100,0.944912,0.000394409
24600,0.944992,0.000474429
25100,0.946176,0.00165876
25600,0.945675,0.00115768
26100,0.945552,0.0010351
26600,0.946577,0.00205932
27100,0.946803,0.00228628
27600,0.947081,0.00256376
28100,0.947706,0.00318845
28600,0.947812,0.0032947
29100,0.946819,0.00230193
29600,0.945131,0.000614096
30100,0.945847,0.00133022
30600,0.945878,0.00136073
31100,0.945514,0.000997137
31600,0.946059,0.00154133
32100,0.945532,0.00101512
32600,0.945627,0.00110942
33100,0.94501,0.00049331
33600,0.945206,0.000688591
34100,0.94508,0.00056276
34600,0.945437,0.00091951
35100,0.944773,0.00025565
35600,0.945056,0.000539183
36100,0.945416,0.000898545
36600,0.945143,0.000625641
37100,0.945368,0.00085077
37600,0.945407,0.000890297
38100,0.945613,0.00109556
38600,0.945636,0.00111884
39100,0.94588,0.00136301
39600,0.945833,0.00131563
40100,0.945826,0.00130852
40600,0.945809,0.00129219
41100,0.945358,0.000840843
41600,0.945269,0.000751538
42100,0.94563,0.00111299
42600,0.944807,0.000289528
43100,0.944318,0.000199374
43600,0.944197,0.00032021
44100,0.944272,0.000245649
44600,0.944572,5.49005e-05
45100,0.945122,0.000604335
45600,0.945395,0.000877522
46100,0.944979,0.000461939
46600,0.945314,0.000796536
47100,0.94509,0.000572431
47600,0.945246,0.000728692
