N,time
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,1
2000,1
2100,1
2200,1
2300,1
2400,1
2500,1
2600,1
2700,1
2800,1
2900,1
3000,1
3100,1
3200,1
3300,1
3400,1
3500,1
3600,2
3700,2
3800,2
3900,2
4000,2
4100,2
4200,2
4300,2
4400,2
4500,2
4600,2
4700,2
4800,2
4900,2
5000,2
5100,2
5200,2
5300,2
5400,3
5500,3
5600,3
5700,3
5800,3
5900,3
6000,3
6100,3
6200,3
6300,3
6400,3
6500,3
6600,3
6700,3
6800,3
6900,3
7000,3
7100,3
7200,4
7300,4
7400,4
7500,4
7600,4
7700,4
7800,4
7900,4
8000,4
8100,4
8200,4
8300,4
8400,4
8500,4
8600,4
8700,4
8800,4
8900,5
9000,5
9100,5
9200,5
9300,5
9400,5
9500,5
9600,5
9700,5
9800,5
9900,5
10000,5
10100,5
10200,5
10300,5
10400,5
10500,5
10600,5
10700,5
10800,6
10900,6
11000,6
11100,6
11200,6
11300,6
11400,6
11500,6
11600,6
11700,6
11800,6
11900,6
12000,6
12100,6
12200,6
12300,6
12400,6
12500,7
12600,7
12700,7
12800,7
12900,7
13000,7
13100,7
13200,7
13300,7
13400,7
13500,7
13600,7
13700,7
13800,7
13900,7
14000,7
14100,7
14200,7
14300,8
14400,8
14500,8
14600,8
14700,8
14800,8
14900,8
15000,8
15100,8
15200,8
15300,8
15400,8
15500,8
15600,8
15700,8
15800,8
15900,8
16000,8
16100,8
16200,8
16300,8
16400,9
16500,9
16600,9
16700,9
16800,9
16900,9
17000,9
17100,9
17200,9
17300,9
17400,9
17500,9
17600,9
17700,9
17800,10
17900,10
18000,10
18100,10
18200,10
18300,10
18400,10
18500,10
18600,10
18700,10
18800,10
18900,10
19000,10
19100,10
19200,10
19300,10
19400,10
19500,11
19600,11
19700,11
19800,11
19900,11
20000,11
20100,11
20200,11
20300,11
20400,11
20500,11
20600,11
20700,11
20800,11
20900,11
21000,11
21100,11
21200,12
21300,12
21400,12
21500,12
21600,12
21700,12
21800,12
21900,12
22000,12
22100,12
22200,12
22300,12
22400,12
22500,12
22600,12
22700,12
22800,12
22900,12
23000,13
23100,13
23200,13
23300,13
23400,13
23500,13
23600,13
23700,13
23800,13
23900,13
24000,13
24100,13
24200,13
24300,13
24400,13
24500,13
24600,13
24700,14
24800,14
24900,14
25000,14
25100,14
25200,14
25300,14
25400,14
25500,14
25600,14
25700,14
25800,14
25900,14
26000,14
26100,14
26200,14
26300,14
26400,14
26500,15
26600,15
26700,15
26800,15
26900,15
27000,15
27100,15
27200,15
27300,15
27400,15
27500,15
27600,15
27700,15
27800,15
27900,15
28000,15
28100,15
28200,16
28300,16
28400,16
28500,17
28600,17
28700,17
28800,16
28900,16
29000,16
29100,16
29200,16
29300,16
29400,16
29500,16
29600,16
29700,16
29800,16
29900,16
30000,16
30100,16
30200,16
30300,17
30400,16
30500,17
30600,17
30700,17
30800,17
30900,17
31000,17
31100,17
31200,17
31300,17
31400,17
31500,17
31600,17
31700,17
31800,17
31900,17
32000,17
32100,17
32200,17
32300,17
32400,17
32500,18
32600,18
32700,18
32800,18
32900,18
33000,18
33100,18
33200,18
33300,18
33400,18
33500,18
33600,18
33700,19
33800,19
33900,19
34000,19
34100,19
34200,19
34300,19
34400,19
34500,19
34600,19
34700,19
34800,19
34900,19
35000,19
35100,19
35200,19
35300,19
35400,20
35500,20
35600,20
35700,20
35800,20
35900,20
36000,20
36100,20
36200,20
36300,20
36400,20
36500,20
36600,20
36700,20
36800,20
36900,21
37000,21
37100,21
37200,21
37300,21
37400,21
37500,21
37600,21
37700,21
37800,21
37900,21
38000,21
38100,22
38200,22
38300,21
38400,21
38500,21
38600,21
38700,21
38800,22
38900,22
39000,22
39100,22
39200,22
39300,22
39400,22
39500,22
39600,22
39700,22
39800,22
39900,22
40000,22
40100,22
40200,22
40300,22
40400,22
40500,22
40600,22
40700,23
40800,23
40900,23
41000,23
41100,23
41200,23
41300,23
41400,23
41500,23
41600,23
41700,23
41800,23
41900,23
42000,23
42100,23
42200,24
42300,24
42400,24
42500,24
42600,24
42700,24
42800,24
42900,24
43000,24
43100,24
43200,24
43300,24
43400,24
43500,24
43600,24
43700,24
43800,24
43900,25
44000,25
44100,25
44200,25
44300,25
44400,25
44500,25
44600,25
44700,25
44800,25
44900,25
45000,25
45100,25
45200,25
45300,25
45400,25
45500,25
45600,26
45700,26
45800,26
45900,26
46000,26
46100,26
46200,26
46300,26
46400,26
46500,26
46600,26
46700,26
46800,26
46900,26
47000,26
47100,26
47200,27
47300,27
47400,27
47500,27
47600,27
47700,27
47800,27
47900,27
48000,27
48100,27
48200,27
48300,27
48400,27
48500,27
48600,27
48700,27
48800,28
48900,27
49000,28
49100,28
49200,28
49300,28
49400,28
49500,28
49600,28
49700,28
49800,28
49900,28
50000,28
50100,28
50200,28
50300,28
50400,28
50500,28
50600,28
50700,29
50800,29
50900,29
51000,29
51100,29
51200,29
51300,29
51400,29
51500,29
51600,29
51700,29
51800,29
51900,29
52000,29
52100,29
52200,29
52300,29
52400,29
52500,29
52600,30
52700,30
52800,30
52900,30
53000,30
53100,30
53200,30
53300,30
53400,30
53500,30
53600,30
53700,30
53800,30
53900,30
54000,30
54100,30
54200,31
54300,31
54400,31
54500,31
54600,32
54700,33
54800,33
54900,31
55000,31
55100,31
55200,31
55300,31
55400,31
55500,31
55600,31
55700,31
55800,31
55900,31
56000,31
56100,31
56200,31
56300,31
56400,32
56500,32
56600,32
56700,32
56800,32
56900,32
57000,32
57100,32
57200,32
57300,32
57400,32
57500,32
57600,33
57700,32
57800,32
57900,32
58000,32
58100,33
58200,33
58300,33
58400,33
58500,33
58600,33
58700,33
58800,33
58900,33
59000,33
59100,33
59200,33
59300,33
59400,33
59500,33
59600,33
59700,33
59800,33
59900,33
60000,34
60100,34
60200,34
60300,34
60400,39
60500,38
60600,37
60700,37
60800,37
