Data,Size,ms,comparisons
random,100,0.0117,172
random,200,0.0235,417
random,300,0.0389,714
random,400,0.0547,1101
random,500,0.0677,1497
random,600,0.0895,1945
random,700,0.1013,2386
random,800,0.1254,2836
random,900,0.1386,3338
random,1000,0.1610,3900
random,1100,0.1842,4450
random,1200,0.2057,5049
random,1300,0.2237,5625
random,1400,0.2504,6240
random,1500,0.2701,6856
random,1600,0.2885,7452
random,1700,0.3090,8025
random,1800,0.3296,8621
random,1900,0.3541,9272
random,2000,0.3771,9917
random,2100,0.3976,10626
random,2200,0.4219,11364
random,2300,0.4437,12079
random,2400,0.4927,12819
random,2500,0.5131,13461
random,2600,0.5133,14161
random,2700,0.5384,14966
random,2800,0.5696,15590
random,2900,0.5896,16387
random,3000,0.6138,17030
reversed,100,0.0364,1288
reversed,200,0.0783,3026
reversed,300,0.1093,4559
reversed,400,0.1529,6130
reversed,500,0.1859,7612
reversed,600,0.2271,9318
reversed,700,0.2782,11283
reversed,800,0.3164,12923
reversed,900,0.3547,14601
reversed,1000,0.3940,16129
reversed,1100,0.4329,17982
reversed,1200,0.4723,19606
reversed,1300,0.5156,21221
reversed,1400,0.5485,22725
reversed,1500,0.5926,24325
reversed,1600,0.6234,25887
reversed,1700,0.6782,27788
reversed,1800,0.7060,29191
reversed,1900,0.7409,30699
reversed,2000,0.7868,32444
reversed,2100,0.8000,34201
reversed,2200,0.8400,35916
reversed,2300,0.8899,37639
reversed,2400,0.9393,39336
reversed,2500,0.9881,41215
reversed,2600,1.0396,43148
reversed,2700,1.0775,44694
reversed,2800,1.1098,46030
reversed,2900,1.1512,47740
reversed,3000,1.1977,49533
nearly_sorted,100,0.0238,678
nearly_sorted,200,0.0457,1371
nearly_sorted,300,0.0635,2085
nearly_sorted,400,0.0870,2836
nearly_sorted,500,0.1057,3497
nearly_sorted,600,0.1270,4192
nearly_sorted,700,0.1476,4916
nearly_sorted,800,0.1742,5645
nearly_sorted,900,0.1908,6273
nearly_sorted,1000,0.2101,6943
nearly_sorted,1100,0.2364,7609
nearly_sorted,1200,0.2545,8159
nearly_sorted,1300,0.2705,8764
nearly_sorted,1400,0.2928,9398
nearly_sorted,1500,0.3124,10027
nearly_sorted,1600,0.3348,10720
nearly_sorted,1700,0.3538,11406
nearly_sorted,1800,0.3763,12037
nearly_sorted,1900,0.4007,12774
nearly_sorted,2000,0.4223,13494
nearly_sorted,2100,0.4447,14230
nearly_sorted,2200,0.4619,14832
nearly_sorted,2300,0.4873,15501
nearly_sorted,2400,0.5079,16132
nearly_sorted,2500,0.5266,16731
nearly_sorted,2600,0.5483,17340
nearly_sorted,2700,0.5642,17954
nearly_sorted,2800,0.5899,18547
nearly_sorted,2900,0.6121,19201
nearly_sorted,3000,0.6224,19907
prefix,100,0.2228,3162
prefix,200,0.3633,6415
prefix,300,0.4980,9728
prefix,400,0.6375,13095
prefix,500,0.7771,16505
prefix,600,0.9266,19922
prefix,700,1.0825,23354
prefix,800,1.2294,26890
prefix,900,1.3740,30369
prefix,1000,1.5274,33945
prefix,1100,1.6538,37475
prefix,1200,1.8213,41029
prefix,1300,1.9540,44593
prefix,1400,2.1041,48251
prefix,1500,2.2543,51911
prefix,1600,2.4150,55523
prefix,1700,2.5490,59111
prefix,1800,2.7333,62763
prefix,1900,2.9102,66450
prefix,2000,3.0357,70041
prefix,2100,3.1910,73761
prefix,2200,3.3529,77404
prefix,2300,3.4989,81145
prefix,2400,3.6548,84681
prefix,2500,3.8009,88473
prefix,2600,3.9523,92166
prefix,2700,4.1284,95943
prefix,2800,4.2804,99645
prefix,2900,4.4316,103366
prefix,3000,4.5866,107049
