Data,Size,ms,comparisons
random,100,0.1077,177
random,200,0.2078,391
random,300,0.2950,611
random,400,0.3551,834
random,500,0.3916,1044
random,600,0.4430,1266
random,700,0.5035,1493
random,800,0.5570,1715
random,900,0.6125,1938
random,1000,0.6761,2168
random,1100,0.7377,2397
random,1200,0.8033,2625
random,1300,0.8945,2869
random,1400,0.9830,3114
random,1500,1.0635,3353
random,1600,1.1594,3606
random,1700,1.2607,3858
random,1800,1.3452,4106
random,1900,1.4676,4362
random,2000,1.5702,4625
random,2100,1.6450,4874
random,2200,1.7615,5131
random,2300,1.8661,5392
random,2400,1.9430,5641
random,2500,2.0932,5921
random,2600,2.2114,6195
random,2700,2.3240,6452
random,2800,2.4515,6732
random,2900,2.5992,7009
random,3000,2.6893,7264
reversed,100,0.0815,238
reversed,200,0.1584,473
reversed,300,0.2531,715
reversed,400,0.3269,949
reversed,500,0.4353,1203
reversed,600,0.5213,1443
reversed,700,0.6029,1683
reversed,800,0.6923,1923
reversed,900,0.7883,2169
reversed,1000,0.8837,2414
reversed,1100,0.9737,2654
reversed,1200,1.0832,2907
reversed,1300,1.1688,3146
reversed,1400,1.2605,3394
reversed,1500,1.3518,3637
reversed,1600,1.4420,3879
reversed,1700,1.5175,4108
reversed,1800,1.5980,4346
reversed,1900,1.6851,4580
reversed,2000,1.7770,4826
reversed,2100,1.8684,5073
reversed,2200,1.9528,5305
reversed,2300,2.0315,5539
reversed,2400,2.1243,5785
reversed,2500,2.2039,6019
reversed,2600,2.3019,6259
reversed,2700,2.4010,6509
reversed,2800,2.4977,6756
reversed,2900,2.5985,7006
reversed,3000,2.6740,7245
nearly_sorted,100,0.0841,227
nearly_sorted,200,0.1481,447
nearly_sorted,300,0.2301,678
nearly_sorted,400,0.3101,911
nearly_sorted,500,0.4104,1154
nearly_sorted,600,0.4849,1385
nearly_sorted,700,0.5929,1640
nearly_sorted,800,0.6944,1890
nearly_sorted,900,0.8004,2139
nearly_sorted,1000,0.8819,2379
nearly_sorted,1100,0.9838,2628
nearly_sorted,1200,1.0905,2880
nearly_sorted,1300,1.1818,3122
nearly_sorted,1400,1.2732,3366
nearly_sorted,1500,1.3579,3601
nearly_sorted,1600,1.4437,3846
nearly_sorted,1700,1.5365,4097
nearly_sorted,1800,1.6145,4332
nearly_sorted,1900,1.7033,4577
nearly_sorted,2000,1.8063,4830
nearly_sorted,2100,1.8848,5064
nearly_sorted,2200,1.9712,5306
nearly_sorted,2300,2.0622,5555
nearly_sorted,2400,2.1510,5801
nearly_sorted,2500,2.2419,6047
nearly_sorted,2600,2.3304,6292
nearly_sorted,2700,2.3623,6548
nearly_sorted,2800,2.5178,6797
nearly_sorted,2900,2.6049,7048
nearly_sorted,3000,2.6691,7302
prefix,100,0.3479,3179
prefix,200,0.5752,6394
prefix,300,0.7716,9617
prefix,400,0.9418,12833
prefix,500,1.1142,16050
prefix,600,1.2797,19264
prefix,700,1.4539,22488
prefix,800,1.6452,25716
prefix,900,1.8196,28938
prefix,1000,2.0170,32164
prefix,1100,2.2041,35395
prefix,1200,2.4243,38637
prefix,1300,2.4524,41878
prefix,1400,2.6967,45127
prefix,1500,2.9100,48368
prefix,1600,3.0972,51603
prefix,1700,3.3231,54852
prefix,1800,3.5640,58110
prefix,1900,3.7463,61343
prefix,2000,3.9589,64593
prefix,2100,4.1737,67846
prefix,2200,4.3992,71100
prefix,2300,4.6338,74373
prefix,2400,4.8832,77641
prefix,2500,5.0861,80890
prefix,2600,5.3263,84167
prefix,2700,5.5774,87436
prefix,2800,5.8290,90715
prefix,2900,6.0793,93989
prefix,3000,6.3106,97256
