Data,Size,ms,comparisons
random,100,0.0906,602
random,200,0.2011,1475
random,300,0.3387,2535
random,400,0.4643,3629
random,500,0.6067,4835
random,600,0.7498,6092
random,700,0.9010,7429
random,800,1.0377,8796
random,900,1.1862,10163
random,1000,1.3326,11619
random,1100,1.4936,13053
random,1200,1.6557,14539
random,1300,1.8148,16057
random,1400,1.9617,17598
random,1500,2.1331,19158
random,1600,2.2905,20757
random,1700,2.4551,22300
random,1800,2.6107,23934
random,1900,2.7696,25529
random,2000,2.9331,27233
random,2100,3.1060,28948
random,2200,3.2077,30587
random,2300,3.4595,32285
random,2400,3.6383,34018
random,2500,3.8236,35732
random,2600,3.9938,37506
random,2700,4.1565,39195
random,2800,4.3318,41026
random,2900,4.5006,42765
random,3000,4.6748,44560
reversed,100,0.0764,595
reversed,200,0.1686,1325
reversed,300,0.2717,2075
reversed,400,0.3732,2828
reversed,500,0.4843,3738
reversed,600,0.5911,4387
reversed,700,0.7074,5147
reversed,800,0.8282,6086
reversed,900,0.9413,6988
reversed,1000,1.0600,7973
reversed,1100,1.1836,8715
reversed,1200,1.3029,9510
reversed,1300,1.4325,10251
reversed,1400,1.5590,11161
reversed,1500,1.7006,12136
reversed,1600,1.8213,13044
reversed,1700,1.9496,13928
reversed,1800,2.0682,15003
reversed,1900,2.2034,15943
reversed,2000,2.3456,17074
reversed,2100,2.4549,17938
reversed,2200,2.5894,18619
reversed,2300,2.7252,19412
reversed,2400,2.8675,20197
reversed,2500,2.9969,21136
reversed,2600,3.1402,21914
reversed,2700,3.2806,22934
reversed,2800,3.4102,23674
reversed,2900,3.5587,24715
reversed,3000,3.6943,25725
nearly_sorted,100,0.0841,795
nearly_sorted,200,0.1880,1817
nearly_sorted,300,0.3086,2929
nearly_sorted,400,0.4231,3965
nearly_sorted,500,0.5427,5028
nearly_sorted,600,0.6780,6380
nearly_sorted,700,0.8218,7703
nearly_sorted,800,0.9468,8869
nearly_sorted,900,1.0867,10128
nearly_sorted,1000,1.2131,11162
nearly_sorted,1100,1.3627,12683
nearly_sorted,1200,1.5239,14178
nearly_sorted,1300,1.6793,15673
nearly_sorted,1400,1.8347,17311
nearly_sorted,1500,1.9893,18737
nearly_sorted,1600,2.1300,20093
nearly_sorted,1700,2.2919,21652
nearly_sorted,1800,2.4325,23043
nearly_sorted,1900,2.5715,24314
nearly_sorted,2000,2.7195,25616
nearly_sorted,2100,2.8658,26982
nearly_sorted,2200,3.0562,29011
nearly_sorted,2300,3.2289,30591
nearly_sorted,2400,3.3870,32282
nearly_sorted,2500,3.5404,33953
nearly_sorted,2600,3.7063,35507
nearly_sorted,2700,3.8690,37202
nearly_sorted,2800,4.0249,38637
nearly_sorted,2900,4.1506,39883
nearly_sorted,3000,4.3108,41209
prefix,100,0.2562,17097
prefix,200,0.5923,40308
prefix,300,0.9588,65353
prefix,400,1.3490,92660
prefix,500,1.7503,120719
prefix,600,2.1637,148931
prefix,700,2.6035,180025
prefix,800,3.0365,210218
prefix,900,3.4887,242073
prefix,1000,3.9229,273095
prefix,1100,4.3932,305641
prefix,1200,4.8483,336525
prefix,1300,5.3347,371503
prefix,1400,5.8168,404433
prefix,1500,6.2944,438295
prefix,1600,6.7725,471833
prefix,1700,7.2709,507027
prefix,1800,7.7533,541434
prefix,1900,8.2362,575966
prefix,2000,8.7409,609891
prefix,2100,9.2287,645128
prefix,2200,9.7366,681370
prefix,2300,10.2453,716732
prefix,2400,10.7595,752349
prefix,2500,11.2731,789081
prefix,2600,11.8035,825725
prefix,2700,12.3003,860979
prefix,2800,12.8373,898582
prefix,2900,13.3644,936014
prefix,3000,13.8801,972917
