Data,Size,ms,comparisons
random,100,0.1973,15021
random,200,0.4062,31243
random,300,0.6537,50029
random,400,0.7978,58521
random,500,1.0249,76855
random,600,1.2125,90885
random,700,1.4670,109184
random,800,1.6594,125190
random,900,1.8801,140952
random,1000,2.1721,158587
random,1100,2.2754,169409
random,1200,2.5459,188457
random,1300,2.7383,202424
random,1400,3.1383,219043
random,1500,3.2246,235078
random,1600,3.2049,250768
random,1700,3.3305,269342
random,1800,3.6211,284892
random,1900,3.7342,301624
random,2000,4.0037,319468
random,2100,4.1641,333509
random,2200,4.4529,354084
random,2300,5.0567,370564
random,2400,5.3015,383133
random,2500,5.5925,396995
random,2600,5.7880,414224
random,2700,6.0700,431768
random,2800,6.3034,448713
random,2900,6.5931,470317
random,3000,6.8035,485636
reversed,100,0.1569,13272
reversed,200,0.3420,28667
reversed,300,0.5024,41297
reversed,400,0.7195,59692
reversed,500,0.7476,60005
reversed,600,1.0305,84804
reversed,700,1.2681,105606
reversed,800,1.4181,120692
reversed,900,1.3909,118684
reversed,1000,1.4842,120131
reversed,1100,1.7286,141529
reversed,1200,2.0084,165559
reversed,1300,2.2506,185325
reversed,1400,2.5435,211348
reversed,1500,2.7650,230754
reversed,1600,2.8885,239638
reversed,1700,2.9767,244836
reversed,1800,2.9560,240211
reversed,1900,3.0244,244570
reversed,2000,2.9968,238769
reversed,2100,3.2251,257162
reversed,2200,3.4824,278918
reversed,2300,3.7296,301531
reversed,2400,4.0320,326737
reversed,2500,4.1818,348991
reversed,2600,4.2790,371781
reversed,2700,4.4487,385152
reversed,2800,4.8114,414922
reversed,2900,5.0498,437615
reversed,3000,5.2951,457960
nearly_sorted,100,0.1748,15615
nearly_sorted,200,0.3655,31401
nearly_sorted,300,0.5247,44334
nearly_sorted,400,0.7124,59870
nearly_sorted,500,0.9023,75125
nearly_sorted,600,1.0949,90312
nearly_sorted,700,1.2950,105630
nearly_sorted,800,1.4460,117244
nearly_sorted,900,1.6686,136007
nearly_sorted,1000,1.7741,144886
nearly_sorted,1100,1.9635,158032
nearly_sorted,1200,2.2960,184899
nearly_sorted,1300,2.4309,195519
nearly_sorted,1400,2.7628,206198
nearly_sorted,1500,3.0548,220116
nearly_sorted,1600,3.1124,233113
nearly_sorted,1700,3.3435,254382
nearly_sorted,1800,3.6152,270989
nearly_sorted,1900,3.8073,285210
nearly_sorted,2000,4.0076,301304
nearly_sorted,2100,4.1665,312738
nearly_sorted,2200,4.3301,323483
nearly_sorted,2300,4.6382,348109
nearly_sorted,2400,4.7350,354922
nearly_sorted,2500,4.9278,370206
nearly_sorted,2600,5.2004,390029
nearly_sorted,2700,5.4256,408815
nearly_sorted,2800,5.6202,428968
nearly_sorted,2900,5.8589,449478
nearly_sorted,3000,5.3812,429566
prefix,100,0.4232,38922
prefix,200,0.9558,87813
prefix,300,1.4260,130908
prefix,400,1.9953,183230
prefix,500,2.5435,233254
prefix,600,3.2919,301414
prefix,700,3.8482,353027
prefix,800,4.6195,423997
prefix,900,5.0517,462632
prefix,1000,5.6587,518852
prefix,1100,6.6228,606843
prefix,1200,7.2256,661630
prefix,1300,7.9082,723593
prefix,1400,8.1762,748056
prefix,1500,9.8601,904571
prefix,1600,9.5675,876071
prefix,1700,10.7567,986294
prefix,1800,11.6830,1070188
prefix,1900,11.3302,1039058
prefix,2000,12.0806,1106039
prefix,2100,13.7618,1258791
prefix,2200,14.6954,1345391
prefix,2300,15.7280,1439889
prefix,2400,16.3260,1496522
prefix,2500,15.8767,1450872
prefix,2600,17.8641,1636043
prefix,2700,17.1838,1571160
prefix,2800,19.2060,1732677
prefix,2900,19.2530,1762422
prefix,3000,19.5556,1789591
