Data,Size,ms,comparisons
random,100,0.0778,1272
random,200,0.1774,3048
random,300,0.2894,5017
random,400,0.4057,7155
random,500,0.5386,9384
random,600,0.6693,11757
random,700,0.8121,14166
random,800,0.9351,16603
random,900,1.0890,19127
random,1000,1.2223,21697
random,1100,1.3864,24344
random,1200,1.5326,27104
random,1300,1.6881,29802
random,1400,1.8364,32551
random,1500,1.9770,35320
random,1600,2.1432,38056
random,1700,2.2899,40914
random,1800,2.4621,43717
random,1900,2.5986,46546
random,2000,2.7579,49469
random,2100,2.9110,52352
random,2200,3.1030,55400
random,2300,3.2568,58440
random,2400,3.4510,61466
random,2500,3.6028,64518
random,2600,3.7819,67529
random,2700,3.9279,70571
random,2800,4.0826,73735
random,2900,4.2676,76739
random,3000,4.4268,79830
reversed,100,0.0729,1833
reversed,200,0.1593,4154
reversed,300,0.2567,6569
reversed,400,0.3576,9088
reversed,500,0.4682,11774
reversed,600,0.5723,14469
reversed,700,0.6881,17255
reversed,800,0.7946,20072
reversed,900,0.9088,22887
reversed,1000,1.0304,25738
reversed,1100,1.1437,28615
reversed,1200,1.2670,31616
reversed,1300,1.3791,34588
reversed,1400,1.5005,37453
reversed,1500,1.6178,40579
reversed,1600,1.7483,43536
reversed,1700,1.8709,46493
reversed,1800,1.9890,49678
reversed,1900,2.1206,52761
reversed,2000,2.2536,55867
reversed,2100,2.3691,58853
reversed,2200,2.5015,62031
reversed,2300,2.6427,65180
reversed,2400,2.7723,68277
reversed,2500,2.9000,71452
reversed,2600,3.0179,74648
reversed,2700,3.1625,77858
reversed,2800,3.2949,80974
reversed,2900,3.4329,84464
reversed,3000,3.5721,87716
nearly_sorted,100,0.0759,1749
nearly_sorted,200,0.1646,3970
nearly_sorted,300,0.2771,6453
nearly_sorted,400,0.3866,8940
nearly_sorted,500,0.5004,11314
nearly_sorted,600,0.6297,14221
nearly_sorted,700,0.7532,16956
nearly_sorted,800,0.8729,19694
nearly_sorted,900,0.9935,22394
nearly_sorted,1000,1.1152,25106
nearly_sorted,1100,1.2418,28114
nearly_sorted,1200,1.4047,31304
nearly_sorted,1300,1.5333,34245
nearly_sorted,1400,1.6802,37359
nearly_sorted,1500,1.8232,40481
nearly_sorted,1600,1.9652,43541
nearly_sorted,1700,2.1004,46500
nearly_sorted,1800,2.2316,49595
nearly_sorted,1900,2.3807,52649
nearly_sorted,2000,2.5177,55657
nearly_sorted,2100,2.6533,58872
nearly_sorted,2200,2.8051,62161
nearly_sorted,2300,2.9687,65476
nearly_sorted,2400,3.1171,68949
nearly_sorted,2500,3.2839,72468
nearly_sorted,2600,3.4333,75607
nearly_sorted,2700,3.6008,79173
nearly_sorted,2800,3.7516,82638
nearly_sorted,2900,3.8902,85916
nearly_sorted,3000,4.0390,89230
prefix,100,0.3195,24401
prefix,200,0.7307,55345
prefix,300,1.1687,88644
prefix,400,1.6376,123787
prefix,500,2.0794,158985
prefix,600,2.5056,197015
prefix,700,2.9889,235398
prefix,800,3.4842,273896
prefix,900,3.9792,312402
prefix,1000,4.4698,350925
prefix,1100,5.0128,391861
prefix,1200,5.5369,433594
prefix,1300,6.0713,475301
prefix,1400,6.5941,517040
prefix,1500,7.1500,558878
prefix,1600,7.6771,600637
prefix,1700,8.3851,642490
prefix,1800,9.2346,684340
prefix,1900,9.3810,726173
prefix,2000,9.8407,768003
prefix,2100,10.3987,811508
prefix,2200,10.9730,856488
prefix,2300,11.5552,901533
prefix,2400,12.1091,946559
prefix,2500,12.7108,991601
prefix,2600,13.2669,1036603
prefix,2700,13.8825,1081724
prefix,2800,14.4417,1126777
prefix,2900,15.0420,1171914
prefix,3000,15.6029,1217026
