Data,Size,ms,comparisons
random,100,0.0167,633
random,200,0.0387,1374
random,300,0.0667,2455
random,400,0.0975,3624
random,500,0.1300,4915
random,600,0.1592,5973
random,700,0.1916,7146
random,800,0.2081,7691
random,900,0.2459,9024
random,1000,0.2722,10101
random,1100,0.3036,11223
random,1200,0.3241,11706
random,1300,0.3695,13762
random,1400,0.4048,14862
random,1500,0.4399,16552
random,1600,0.4934,18754
random,1700,0.5058,18489
random,1800,0.5168,18618
random,1900,0.5925,22421
random,2000,0.6379,24445
random,2100,0.6583,24846
random,2200,0.6935,25794
random,2300,0.7170,26556
random,2400,0.7393,26819
random,2500,0.8333,31978
random,2600,0.8061,29765
random,2700,0.8327,30537
random,2800,0.8756,31528
random,2900,0.9616,36571
random,3000,0.9443,34986
reversed,100,0.0229,974
reversed,200,0.0630,2723
reversed,300,0.1119,4724
reversed,400,0.1617,6937
reversed,500,0.2059,8884
reversed,600,0.2559,11064
reversed,700,0.3091,13451
reversed,800,0.3890,17146
reversed,900,0.4408,19595
reversed,1000,0.5186,23015
reversed,1100,0.6261,27832
reversed,1200,0.7023,31089
reversed,1300,0.7868,34931
reversed,1400,0.8890,39625
reversed,1500,1.0022,44504
reversed,1600,1.0970,49210
reversed,1700,1.2105,54241
reversed,1800,1.3561,61223
reversed,1900,1.4511,65688
reversed,2000,1.5798,72272
reversed,2100,1.6859,77516
reversed,2200,1.8468,84781
reversed,2300,1.9451,89693
reversed,2400,2.1527,99021
reversed,2500,2.2954,106077
reversed,2600,2.4613,113712
reversed,2700,2.6158,121200
reversed,2800,2.7998,129902
reversed,2900,2.9955,138799
reversed,3000,3.1642,146423
nearly_sorted,100,0.0212,882
nearly_sorted,200,0.0482,2066
nearly_sorted,300,0.0808,3465
nearly_sorted,400,0.1048,4425
nearly_sorted,500,0.1568,6698
nearly_sorted,600,0.1930,8305
nearly_sorted,700,0.2484,10802
nearly_sorted,800,0.2677,11510
nearly_sorted,900,0.2961,12623
nearly_sorted,1000,0.3273,13999
nearly_sorted,1100,0.3197,13189
nearly_sorted,1200,0.3555,14867
nearly_sorted,1300,0.3814,15913
nearly_sorted,1400,0.4056,17024
nearly_sorted,1500,0.4757,20064
nearly_sorted,1600,0.4873,20541
nearly_sorted,1700,0.5263,22136
nearly_sorted,1800,0.5440,23070
nearly_sorted,1900,0.5857,24844
nearly_sorted,2000,0.6385,27262
nearly_sorted,2100,0.9110,40604
nearly_sorted,2200,0.9506,42272
nearly_sorted,2300,1.1724,52452
nearly_sorted,2400,0.9899,43727
nearly_sorted,2500,1.0147,44667
nearly_sorted,2600,1.1409,50608
nearly_sorted,2700,1.7305,78796
nearly_sorted,2800,1.6071,72485
nearly_sorted,2900,1.8826,85220
nearly_sorted,3000,2.0879,94951
prefix,100,0.0510,3568
prefix,200,0.1085,7375
prefix,300,0.1651,11226
prefix,400,0.2223,15164
prefix,500,0.2829,19243
prefix,600,0.3403,23083
prefix,700,0.4026,27228
prefix,800,0.4490,31471
prefix,900,0.5239,35391
prefix,1000,0.5953,39492
prefix,1100,0.6526,43587
prefix,1200,0.7117,47665
prefix,1300,0.7634,52856
prefix,1400,0.8358,56053
prefix,1500,0.8791,60396
prefix,1600,0.9562,64246
prefix,1700,0.9947,68310
prefix,1800,1.0712,73289
prefix,1900,1.1182,76689
prefix,2000,1.1923,81588
prefix,2100,1.2629,86051
prefix,2200,1.3329,90942
prefix,2300,1.3743,93884
prefix,2400,1.4561,98896
prefix,2500,1.5158,103099
prefix,2600,1.5664,106483
prefix,2700,1.6386,111182
prefix,2800,1.7443,117906
prefix,2900,1.7494,118491
prefix,3000,1.8166,123149
